       Lattice Point                 KS orbital 1                      KS orbital 2
                             Real Part         Imaginary Part      Real Part           Imaginary Part
       -7.2000000000       -0.0884450790       -0.0002719694       -0.0884451629       -0.0002719697
       -6.8000000000       -0.0640093004       -0.0002096311       -0.0640094269       -0.0002096316
       -6.4000000000       -0.0452954457       -0.0001574023       -0.0452956321       -0.0001574029
       -6.0000000000       -0.0314684224       -0.0001156469       -0.0314686845       -0.0001156479
       -5.6000000000       -0.0215381743       -0.0000834608       -0.0215385509       -0.0000834623
       -5.2000000000       -0.0145655112       -0.0000593548       -0.0145660493       -0.0000593570
       -4.8000000000       -0.0097563379       -0.0000417086       -0.0097571240       -0.0000417120
       -4.4000000000       -0.0064858192       -0.0000290242       -0.0064869721       -0.0000290294
       -4.0000000000       -0.0042861051       -0.0000200377       -0.0042878227       -0.0000200457
       -3.6000000000       -0.0028191498       -0.0000137435       -0.0028217202       -0.0000137560
       -3.2000000000       -0.0018471285       -0.0000093743       -0.0018510115       -0.0000093940
       -2.8000000000       -0.0012059760       -0.0000063616       -0.0012118615       -0.0000063926
       -2.4000000000       -0.0007841878       -0.0000042935       -0.0007931559       -0.0000043426
       -2.0000000000       -0.0005067298       -0.0000028757       -0.0005204253       -0.0000029534
       -1.6000000000       -0.0003234182       -0.0000019001       -0.0003443973       -0.0000020234
       -1.2000000000       -0.0002006601       -0.0000012190       -0.0002328457       -0.0000014146
       -0.8000000000       -0.0001157370       -0.0000007263       -0.0001652138       -0.0000010367
       -0.4000000000       -0.0000527996       -0.0000003419       -0.0001289714       -0.0000008351
        0.0000000000       -0.0000000002       -0.0000000000       -0.0001175560       -0.0000007847
        0.4000000000        0.0000527991        0.0000003630       -0.0001289709       -0.0000008867
        0.8000000000        0.0001157359        0.0000008188       -0.0001652126       -0.0000011689
        1.2000000000        0.0002006579        0.0000014598       -0.0002328433       -0.0000016940
        1.6000000000        0.0003234138        0.0000024176       -0.0003443927       -0.0000025744
        2.0000000000        0.0005067216        0.0000038892       -0.0005204170       -0.0000039943
        2.4000000000        0.0007841731        0.0000061755       -0.0007931411       -0.0000062461
        2.8000000000        0.0012059503        0.0000097383       -0.0012118356       -0.0000097858
        3.2000000000        0.0018470841        0.0000152850       -0.0018509670       -0.0000153171
        3.6000000000        0.0028190746        0.0000238922       -0.0028216450       -0.0000239140
        4.0000000000        0.0042859795        0.0000371818       -0.0042876971       -0.0000371967
        4.4000000000        0.0064856120        0.0000575613       -0.0064867649       -0.0000575716
        4.8000000000        0.0097560006        0.0000885381       -0.0097567867       -0.0000885453
        5.2000000000        0.0145649696        0.0001350940       -0.0145655076       -0.0001350990
        5.6000000000        0.0215373173        0.0002040722       -0.0215376939       -0.0002040758
        6.0000000000        0.0314670889        0.0003044536       -0.0314673510       -0.0003044561
        6.4000000000        0.0452934100        0.0004472870       -0.0452935964       -0.0004472888
        6.8000000000        0.0640062609        0.0006448849       -0.0640063874       -0.0006448862
