     Lattice Point       Full KS potential   Exchange Correlation  Hartree Potential  Potential-External potential
                                               Potential
        2.4000000000       -1.0079278110       -0.1894531211        0.2258380810        0.0363849599
        2.8000000000       -1.0543354305       -0.1983051855        0.2319588020        0.0336536166
        3.2000000000       -1.1025327302       -0.2084239048        0.2395170331        0.0310931283
        3.6000000000       -1.1531278478       -0.2201366305        0.2488255099        0.0286888794
        4.0000000000       -1.2067995952       -0.2339176555        0.2603456314        0.0264279760
        4.4000000000       -1.2642914887       -0.2504850599        0.2747828324        0.0242977725
        4.8000000000       -1.3263973523       -0.2709673595        0.2932547899        0.0222874304
        5.2000000000       -1.3939412409       -0.2971968037        0.3175837953        0.0203869916
        5.6000000000       -1.4677441977       -0.3321986241        0.3507863469        0.0185877229
        6.0000000000       -1.5485749894       -0.3809555324        0.3978372342        0.0168817018
        6.4000000000       -1.6370773319       -0.4514584397        0.4667203083        0.0152618686
        6.8000000000       -1.7336664481       -0.5558151407        0.5695369665        0.0137218258
        7.2000000000       -1.8383847804       -0.7106264875        0.7228823039        0.0122558164
        7.6000000000       -1.9507052317       -0.9349086552        0.9457672668        0.0108586116
        8.0000000000       -2.0692674351       -1.2429730877        1.2524985614        0.0095254737
        8.4000000000       -2.1915300690       -1.6303242358        1.6385763204        0.0082520846
        8.8000000000       -2.3133189693       -2.0551988939        2.0622334047        0.0070345107
        9.2000000000       -2.4282474673       -2.4276776694        2.4335468229        0.0058691536
        9.6000000000       -2.5269814893       -2.6262379602        2.6309906809        0.0047527207
       10.0000000000       -2.5963178111       -2.5528938192        2.5565760081        0.0036821889
       10.4000000000       -2.6180392046       -2.2030134957        2.2056682766        0.0026547809
       10.8000000000       -2.5675052112       -1.6897856575        1.6914535956        0.0016679381
       11.2000000000       -2.4119317621       -1.1827861900        1.1835054917        0.0007193018
       11.6000000000       -2.1083069376       -0.8037493118        0.8035560029       -0.0001933089
       12.0000000000       -1.6008836975       -0.5745152956        0.5734433869       -0.0010719087
       12.4000000000       -0.8181835046       -0.4506033983        0.4486850284       -0.0019183698
       12.8000000000        0.3305627549       -0.3811856070        0.3784511863       -0.0027344207
       13.2000000000        1.9596180548       -0.3364558655        0.3329341781       -0.0035216875
       13.6000000000        4.2116770098       -0.3038596586        0.2995780372       -0.0042816214
       14.0000000000        7.2636369050       -0.2784495700        0.2734337262       -0.0050158438
  
  
      -14.0000000000       10.0636370235       -0.2784490855        0.2734333602       -0.0050157253
      -13.6000000000        6.9316771137       -0.3038590979        0.2995775804       -0.0042815175
      -13.2000000000        4.5996181603       -0.3364551627        0.3329335807       -0.0035215820
      -12.8000000000        2.8905628596       -0.3811846473        0.3784503313       -0.0027343160
      -12.4000000000        1.6618165998       -0.4506018786        0.4486836131       -0.0019182655
      -12.0000000000        0.7991164062       -0.5745125695        0.5734407645       -0.0010718050
      -11.6000000000        0.2116931659       -0.8037445056        0.8035513001       -0.0001932054
      -11.2000000000       -0.1719316592       -1.1827789616        1.1834983662        0.0007194046
      -10.8000000000       -0.4075051091       -1.6897771396        1.6914451799        0.0016680403
      -10.4000000000       -0.5380391030       -2.2030062139        2.2056610964        0.0026548825
      -10.0000000000       -0.5963177101       -2.5528902450        2.5565725349        0.0036822899
       -9.6000000000       -0.6069813892       -2.6262389872        2.6309918080        0.0047528208
       -9.2000000000       -0.5882473676       -2.4276823367        2.4335515899        0.0058692533
       -8.8000000000       -0.5533188707       -2.0552053002        2.0622399095        0.0070346093
       -8.4000000000       -0.5115299710       -1.6303306344        1.6385828170        0.0082521826
       -8.0000000000       -0.4692673380       -1.2429784539        1.2525040246        0.0095255708
       -7.6000000000       -0.4307051356       -0.9349126748        0.9457713825        0.0108587077
       -7.2000000000       -0.3983846854       -0.7106292831        0.7228851944        0.0122559113
       -6.8000000000       -0.3736663541       -0.5558169995        0.5695389193        0.0137219198
       -6.4000000000       -0.3570772393       -0.4514596510        0.4667216122        0.0152619612
       -6.0000000000       -0.3485748978       -0.3809563209        0.3978381143        0.0168817934
       -5.6000000000       -0.3477441077       -0.3321991448        0.3507869577        0.0185878128
       -5.2000000000       -0.3539411522       -0.2971971545        0.3175842348        0.0203870802
       -4.8000000000       -0.3663972659       -0.2709676015        0.2932551183        0.0222875168
       -4.4000000000       -0.3842914031       -0.2504852278        0.2747830859        0.0242978581
       -4.0000000000       -0.4067995131       -0.2339177739        0.2603458320        0.0264280581
       -3.6000000000       -0.4331277653       -0.2201367093        0.2488256711        0.0286889619
       -3.2000000000       -0.4625326543       -0.2084239597        0.2395171639        0.0310932042
       -2.8000000000       -0.4943353500       -0.1983052112        0.2319589082        0.0336536970
       -2.4000000000       -0.5279277464       -0.1894531421        0.2258381667        0.0363850246
       -2.0000000000       -0.5627830615       -0.1816397069        0.2209365942        0.0392968873
       -1.6000000000       -0.5984537117       -0.1747005981        0.2170988490        0.0423982508
       -1.2000000000       -0.6345259234       -0.1684703503        0.2142139946        0.0457436443
       -0.8000000000       -0.6702181025       -0.1623690825        0.2122042280        0.0498351455
       -0.4000000000       -0.7029513699       -0.1539660147        0.2110179728        0.0570519581
        0.0000000000       -0.7359878640       -0.1466136106        0.2106257466        0.0640121360
        0.4000000000       -0.7829514535       -0.1539660786        0.2110179532        0.0570518745
        0.8000000000       -0.8302179086       -0.1623688488        0.2122041882        0.0498353394
        1.2000000000       -0.8745259785       -0.1684703445        0.2142139337        0.0457435892
        1.6000000000       -0.9184536717       -0.1747004745        0.2170987653        0.0423982908
        2.0000000000       -0.9627830762       -0.1816396129        0.2209364855        0.0392968726
        2.4000000000       -1.0079277408       -0.1894529994        0.2258380297        0.0363850302
        2.8000000000       -1.0543353619       -0.1983050531        0.2319587383        0.0336536852
        3.2000000000       -1.1025326629       -0.2084237590        0.2395169546        0.0310931956
